UFObase Test Protocol - UFObase V3.5.96.2 May 26 2023-13:24:12
Protocol version:	1.14.3

Decimal separator:	,
Unknown value:	0

Test number:	40
Reference Position Long east:	14,49449907	[°]
Reference Position Lat north:	48,15929485	[°]
Reference direction:	154,690	[°]
Reference height:	100,0	[m]
Time zone: UTC
Coordinate system:	DIN 70000  (X,Y,Z -> Forward, Left, Up)
Start time	2023-07-20 12:11:08,670
Stop time	12:11:27,850

Test phases definition:
Phase #00 ('SystemCheck')
	Steering control: Path trajectory
	Speed control: Speed trajectory
Phase #01 ('rollout')
	Steering control: Unchanged
	Speed control: Generic
Phase #02 ('3mss_brake')
	Steering control: Unchanged
	Speed control: Speed trajectory
Phase #03 ('RTS')
	Steering control: Unchanged
	Speed control: Speed trajectory

#1	Vehicle (UFO):
#1		Name:	UFOmicro
#1		IP:	192.168.10.37
#1		Type:	vt6-3
#1		SW-Version:	539
#1		Processor-Type:	STM32F407

#1	Battery IDs:	10430, 10889
#1	Start position:
#1		X:	-0,350	[m]
#1		Y:	13,830	[m]
#1		XY-Hdg:	-89,8	[°]
#1		N:	6,229	[m]
#1		E:	12,353	[m]
#1		NE-Hdg:	-115,5	[°]
#1	Trajectory file:	SystemCheck_UFOmicro_traj.txt
#1	Trajectory length:	144,722	[m]
#1	UFO Dummy:
#1		Name:	Vehicle without dummy
#1		Length:	0,978	[m]
#1		Width:	1,048	[m]
#1		GPS->Front:	0,489	[m]
#1		GPS side offset:	-0,000	[m]
#1		GPS mounting correction forward:	0,000	[m]
#1		GPS mounting correction right:	0,000	[m]
#1		GPS->MRP Forward:	0,000	[m]
#1		GPS->MRP Right:	0,000	[m]
#1	Long/Lat dist & TTC reference heading:	Start_Heading+0,00	[°]
#1	End of test Reason:	Path error too high

#1	Trigger:
#1		Trigger #1:	'SystemCheck -> rollout'
#1			Condition:	'(((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0))'
#1			Action:	'Switch to Phase#1'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #2:	'rollout -> brake_3mss'
#1			Condition:	'(((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1))'
#1			Action:	'Switch to Phase#2'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #3:	'RTS -> Stop'
#1			Condition:	'((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL)'
#1			Action:	'Stop (controlled)'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1	Test events:
#1		12:11:08,670	Test phase change. New phase:0 ("SystemCheck")
#1		12:11:18,530	Trigger #0 "SystemCheck -> rollout" ((((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0)))
#1		12:11:18,530	Test phase change. New phase:1 ("rollout")
#1		12:11:25,770	Test phase change. New phase:70 ("Stopping (soft)")
#1		12:11:26,990	Test phase change. New phase:71 ("Stopping (hard)")



Number of test points	2119

Test point data:

Index [-]	HPC Time [msec]	Source	Vehicle State [-]	Time (UTC)	Steer algorithm [-]	Desired speed [kph]	Vehicle Speed [kph]	Desired Acc [m/ss]	Vehicle Acc [m/ss]	Desired steering radius [m]	Int. desired speed [kph]	Int. desired steering radius [m]	Int. desired steering angle [°]	Desired steering speed [-]	Steering position [-]	Desired brake pressure [Bar]	Brake pressure [Bar]	Desired brake position [-]	Brake position [-]	Desired brake speed [-]	Steering angle measured [°]	GPS Lat [°]	GPS Long [°]	Pos E [m]	Pos N [m]	Desired Pos X [m]	Desired Pos Y [m]	Pos X [m]	Pos Y [m]	Speed [kph]	GPS Direction [°]	GPS Heading [°]	Change of Heading [°/s]	GPS Num satellites [-]	GPS Pos Accuracy [m]	GPS Heading Accuracy [°]	Speed Accuracy [m/s]	Position on Path [m]	Side deviation [m]	Way deviation [m]	Heading deviation [°]	Time deviation [s]	Speed deviation [kph]	Acc deviation [m/ss]	Acc X [m/ss]	Acc Y [m/ss]	Acc Z [m/ss]	AngRate Z [°/s]	Way from motors [m]	Motor [L] RPM [1/min]	Motor [L] Current [A]	Motor [L] Voltage [V]	Motor [L] Throttle [A]	Motor [L] Brake [-]	Motor [L] State [-]	Motor [L] Temp [°C]	Motor [L] PWM [‰]	Motor [R] RPM [1/min]	Motor [R] Current [A]	Motor [R] Voltage [V]	Motor [R] Throttle [A]	Motor [R] Brake [-]	Motor [R] State [-]	Motor [R] Temp [°C]	Motor [R] PWM [‰]	Motor [FL] RPM [1/min]	Motor [FL] Current [A]	Motor [FL] Voltage [V]	Motor [FL] Throttle [A]	Motor [FL] Brake [-]	Motor [FL] State [-]	Motor [FL] Temp [°C]	Motor [FL] PWM [‰]	Motor [FR] RPM [1/min]	Motor [FR] Current [A]	Motor [FR] Voltage [V]	Motor [FR] Throttle [A]	Motor [FR] Brake [-]	Motor [FR] State [-]	Motor [FR] Temp [°C]	Motor [FR] PWM [‰]	Slip rear left [%]	Slip rear right [%]	Slip front left [%]	Slip front right [%]	RPM front left [-]	RPM front right [-]	Batt Voltage 1 [V]	Batt Current 1 [A]	Batt State of charge 1 [%]	Batt Voltage 2 [V]	Batt Current 2 [A]	Batt State of charge 2 [%]	Time to meeting pos [s]	VUT distance to crashpoint [m]	VUT time to meeting pos [s]	VUT long distance [m]	VUT lat distance [m]	VUT speed [kph]	VUT Pos E [m]	VUT Pos N [m]	VUT Pos X [m]	VUT Pos Y [m]	VUT distance to UFO [m]	VUT side deviation [m]	TTC long [s]	TTC lat [s]	TTC abs [s]	Network roundtrip time [ms]	Additional side offset [m]	Additional forward offset [m]	Additional offset blend factor [1]	Safety CPU temp [°C]	Safety state [-]	Safety flags #1 [-]	Safety flags #2 [-]	Safety flags #3 [-]	Safety flags #4 [-]	Relay State [-]	Main buffer batt voltage [V]	GNSS buffer batt voltage [V]	Debug F1 [-]	Debug F2 [-]	Debug F3 [-]	Debug I1 [-]	Debug I2 [-]	Debug I3 [-]	
0	0	M	3	20/07/2023 12:11:08,670	6	0,00	0,02	4,000	-0,011	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935101	14,49466483	12,332	6,245	0,000	0,000	0,012	-0,023	0,02	0	115,28	0	26	0,049	0,260	0,021	0,012	-0,023	0,000	-0,23	-0,078	0,02	-4,011	0,1	0,1	9,8	-0,073	0,000	0,0	0,2	51,6	74,924	0	0	67,5	0	0,0	0,2	51,7	74,924	0	0	67,4	1	0,0	-0,2	51,7	74,924	0	0	67,3	0	0,0	0,1	51,8	74,924	0	0	67,5	-3	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
1	10	M	3	20/07/2023 12:11:08,680	6	0,14	0,01	4,000	-0,056	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935101	14,49466483	12,332	6,244	0,000	-0,000	0,012	-0,022	0,01	0	115,28	-0,023	26	0,049	0,260	0,021	0,012	-0,022	0,000	-0,23	-0,067	-0,13	-4,056	0,1	0,1	9,8	-0,101	0,000	0,0	4,7	51,4	88,820	0	0	67,5	67	0,0	2,5	51,6	92,120	0	0	67,4	71	0,0	-0,2	51,7	88,820	0	0	67,3	0	0,0	4,2	51,8	92,120	0	0	67,5	65	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
2	20	M	3	20/07/2023 12:11:08,690	6	0,29	0,12	4,000	2,956	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935101	14,49466483	12,332	6,244	0,001	0,000	0,012	-0,022	0,12	0	115,29	0,292	26	0,049	0,260	0,021	0,012	-0,022	0,000	-0,22	-0,058	-0,17	-1,044	2,1	0,0	9,5	0,226	0,000	0,0	10,5	51,2	86,929	0	0	67,5	72	0,0	11,9	51,6	102,017	0	0	67,4	72	103,0	4,7	51,2	86,929	0	0	67,3	68	44,0	4,2	51,8	102,017	0	0	67,5	65	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
3	30	M	3	20/07/2023 12:11:08,700	6	0,43	0,24	4,000	3,195	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935100	14,49466483	12,332	6,244	0,002	-0,000	0,012	-0,022	0,24	0	115,28	-0,092	26	0,049	0,260	0,021	0,012	-0,022	0,000	-0,23	-0,049	-0,20	-0,805	3,3	0,3	9,8	-0,150	0,000	0,0	17,9	51,0	84,932	0	0	67,5	69	0,0	11,9	51,4	110,184	0	0	67,5	72	61,0	4,7	51,2	84,932	0	0	67,3	68	24,0	4,2	51,8	110,184	0	0	67,5	65	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
4	40	M	3	20/07/2023 12:11:08,710	6	0,58	0,34	4,000	3,037	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935100	14,49466482	12,331	6,244	0,003	0,000	0,013	-0,022	0,34	0	115,29	0,034	26	0,049	0,260	0,021	0,013	-0,022	0,000	-0,22	-0,041	-0,23	-0,963	3,3	0,0	10,1	-0,132	0,000	0,0	22,0	50,9	84,779	0	0	67,5	68	0,0	22,3	51,3	117,717	0	0	67,5	84	26,0	19,9	51,2	84,779	0	0	67,3	68	27,0	4,2	51,2	117,717	0	0	67,5	65	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
5	50	M	3	20/07/2023 12:11:08,720	6	0,72	0,45	4,000	2,918	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935100	14,49466481	12,330	6,243	0,005	-0,000	0,014	-0,022	0,45	112,7	115,29	0,400	26	0,049	0,260	0,021	0,014	-0,022	0,000	-0,22	-0,034	-0,27	-1,082	3,1	-0,1	10,2	0,242	0,000	0,0	27,1	50,9	86,215	0	0	67,5	70	0,0	31,8	51,3	124,578	0	0	67,5	91	16,0	19,9	51,0	86,215	0	0	67,3	68	27,0	28,7	51,2	124,578	0	0	67,4	89	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
6	60	M	3	20/07/2023 12:11:08,730	6	0,86	0,57	4,000	3,264	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935099	14,49466479	12,329	6,243	0,007	0,000	0,016	-0,022	0,57	112,4	115,30	0,597	26	0,049	0,260	0,021	0,016	-0,022	0,000	-0,21	-0,028	-0,30	-0,736	3,2	-0,0	9,9	0,415	0,000	0,0	30,3	50,9	87,315	0	0	67,5	73	0,0	41,5	51,0	129,121	0	0	67,5	93	23,0	30,1	51,0	87,315	0	0	67,3	72	42,0	28,7	51,2	129,121	0	0	67,4	89	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
7	70	M	3	20/07/2023 12:11:08,740	6	1,01	0,70	4,000	3,621	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935099	14,49466477	12,328	6,242	0,010	-0,000	0,017	-0,023	0,70	112,7	115,31	1,266	26	0,049	0,260	0,021	0,017	-0,023	0,000	-0,20	-0,023	-0,31	-0,379	3,8	-0,1	9,8	1,074	0,000	0,0	34,6	50,8	87,772	0	0	67,5	73	0,0	41,5	51,0	131,566	0	0	67,5	93	35,0	30,1	51,0	87,772	0	0	67,3	72	52,0	28,7	51,2	131,566	0	0	67,4	89	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
8	80	M	3	20/07/2023 12:11:08,750	6	1,15	0,82	4,000	3,492	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935098	14,49466474	12,326	6,241	0,013	0,000	0,019	-0,023	0,82	113,3	115,32	1,134	26	0,049	0,260	0,021	0,019	-0,023	0,000	-0,19	-0,018	-0,33	-0,508	3,6	0,2	9,9	1,112	0,000	57,0	37,2	50,8	89,187	0	0	67,5	77	57,0	50,4	50,9	134,046	0	0	67,5	102	44,0	30,1	50,8	89,187	0	0	67,3	72	48,0	51,0	50,9	134,046	0	0	67,4	106	0	0	0	0	0	0	52,2	-2,4	72,30	52,3	-2,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
9	90	M	3	20/07/2023 12:11:08,760	6	1,30	0,96	4,000	3,893	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935097	14,49466471	12,324	6,240	0,016	-0,000	0,022	-0,023	0,96	113,3	115,33	1,164	26	0,049	0,260	0,021	0,022	-0,023	0,000	-0,18	-0,014	-0,33	-0,107	3,8	0,1	9,9	1,059	0,000	57,0	40,7	50,7	89,410	0	0	67,5	78	57,0	58,6	50,9	134,645	0	0	67,5	101	50,0	38,1	50,8	89,410	0	0	67,3	78	66,0	51,0	50,9	134,645	0	0	67,4	106	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
10	100	M	3	20/07/2023 12:11:08,770	6	1,44	1,10	4,000	3,848	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935096	14,49466468	12,321	6,239	0,020	0,000	0,024	-0,023	1,10	113,9	115,34	1,094	26	0,049	0,260	0,021	0,024	-0,023	0,000	-0,17	-0,010	-0,34	-0,152	4,1	0,2	9,6	1,093	0,000	57,0	42,7	50,6	89,912	0	0	67,5	81	57,0	58,6	50,8	135,309	0	0	67,5	101	63,0	38,1	50,8	89,912	0	0	67,3	78	76,0	51,0	50,9	135,309	0	0	67,4	106	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
11	110	M	3	20/07/2023 12:11:08,780	6	1,58	1,23	4,000	3,488	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935097	14,49466471	12,323	6,240	0,024	0,000	0,022	-0,022	1,23	114,0	115,36	1,455	26	0,049	0,260	0,021	0,022	-0,022	0,000	-0,15	0,005	-0,36	-0,512	4,0	0,1	9,6	0,812	0,000	57,0	45,4	50,6	99,207	0	0	67,5	81	57,0	65,0	50,7	129,937	0	0	67,5	104	68,0	44,3	50,7	99,207	0	0	67,3	84	84,0	51,0	50,7	129,937	0	0	67,4	106	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
12	120	M	3	20/07/2023 12:11:08,790	6	1,73	1,36	4,000	3,749	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935095	14,49466467	12,320	6,238	0,029	0,000	0,026	-0,022	1,36	114,5	115,36	0,619	26	0,049	0,260	0,021	0,026	-0,022	0,000	-0,15	0,007	-0,37	-0,251	4,0	0,3	9,8	0,723	0,000	57,0	47,6	50,5	98,681	0	0	67,5	93	57,0	70,5	50,7	132,385	0	0	67,5	106	83,0	44,3	50,7	98,681	0	0	67,3	84	86,0	67,4	50,7	132,385	0	0	67,4	115	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
13	130	M	3	20/07/2023 12:11:08,800	6	1,87	1,52	4,000	4,361	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935094	14,49466462	12,317	6,236	0,034	-0,000	0,029	-0,022	1,52	114,5	115,37	0,470	26	0,049	0,260	0,021	0,029	-0,022	0,000	-0,14	0,009	-0,35	0,361	4,4	0,1	9,9	0,417	0,000	57,0	50,8	50,6	95,538	0	0	67,5	93	57,0	70,5	50,6	132,764	0	0	67,5	106	91,0	44,3	50,7	95,538	0	0	67,3	84	98,0	67,4	50,7	132,764	0	0	67,4	115	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
14	140	M	3	20/07/2023 12:11:08,810	6	2,02	1,68	4,000	4,448	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935092	14,49466457	12,313	6,235	0,039	0,000	0,034	-0,022	1,68	114,3	115,37	0,350	26	0,049	0,260	0,021	0,034	-0,022	0,000	-0,14	0,010	-0,34	0,448	4,3	0,0	9,9	0,133	0,000	57,0	52,6	50,5	91,987	0	0	67,5	116	57,0	74,9	50,6	132,878	0	0	67,5	109	101,0	50,8	50,7	91,987	0	0	67,3	100	109,0	67,4	50,7	132,878	0	0	67,4	115	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
15	150	M	3	20/07/2023 12:11:08,820	6	2,16	1,82	4,000	3,887	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466451	12,308	6,233	0,045	0,000	0,039	-0,023	1,82	114,4	115,38	0,669	26	0,048	0,260	0,021	0,039	-0,023	0,000	-0,13	0,011	-0,34	-0,113	4,1	0,0	9,7	0,547	0,000	57,0	54,0	50,5	90,790	0	0	67,5	87	57,0	79,0	50,9	134,943	0	0	67,5	109	109,0	50,8	50,7	90,790	0	0	67,3	100	125,0	76,7	50,6	134,943	0	0	67,4	113	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
16	160	M	3	20/07/2023 12:11:08,830	6	2,30	1,96	4,000	3,968	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935089	14,49466445	12,304	6,231	0,051	-0,000	0,044	-0,023	1,96	114,5	115,39	1,209	26	0,048	0,260	0,021	0,044	-0,023	0,000	-0,12	0,012	-0,34	-0,032	4,2	-0,0	9,8	1,059	0,000	57,0	54,8	50,5	89,908	0	0	67,5	89	57,0	81,6	50,9	136,072	0	0	67,5	112	120,0	54,7	50,6	89,908	0	0	67,3	99	135,0	76,7	50,6	136,072	0	0	67,4	113	0	0	0	0	0	0	52,2	-2,4	72,30	52,1	-5,4	82,50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDF81	0x1200	0x0FA1	0x00DF	0	0	0	0	0	0	0	0	
