UFObase Test Protocol - UFObase V3.5.96.2 May 26 2023-13:24:12
Protocol version:	1.14.3

Decimal separator:	,
Unknown value:	0

Test number:	9
Reference Position Long east:	14,49449907	[°]
Reference Position Lat north:	48,15929485	[°]
Reference direction:	154,690	[°]
Reference height:	100,0	[m]
Time zone: UTC
Coordinate system:	DIN 70000  (X,Y,Z -> Forward, Left, Up)
Start time	2023-07-20 09:27:00,400
Stop time	09:27:50,240

Test phases definition:
Phase #00 ('SystemCheck')
	Steering control: Path trajectory
	Speed control: Speed trajectory
Phase #01 ('rollout')
	Steering control: Unchanged
	Speed control: Generic
Phase #02 ('3mss_brake')
	Steering control: Unchanged
	Speed control: Speed trajectory
Phase #03 ('RTS')
	Steering control: Unchanged
	Speed control: Speed trajectory

#1	Vehicle (UFO):
#1		Name:	UFOmicro
#1		IP:	192.168.10.37
#1		Type:	vt6-3
#1		SW-Version:	539
#1		Processor-Type:	STM32F407

#1	Battery IDs:	10088, 10354
#1	Start position:
#1		X:	-0,350	[m]
#1		Y:	13,830	[m]
#1		XY-Hdg:	-89,8	[°]
#1		N:	6,229	[m]
#1		E:	12,353	[m]
#1		NE-Hdg:	-115,5	[°]
#1	Trajectory file:	SystemCheck_UFOmicro_traj.txt
#1	Trajectory length:	144,722	[m]
#1	UFO Dummy:
#1		Name:	Vehicle without dummy
#1		Length:	0,978	[m]
#1		Width:	1,048	[m]
#1		GPS->Front:	0,489	[m]
#1		GPS side offset:	-0,000	[m]
#1		GPS mounting correction forward:	0,000	[m]
#1		GPS mounting correction right:	0,000	[m]
#1		GPS->MRP Forward:	0,000	[m]
#1		GPS->MRP Right:	0,000	[m]
#1	Long/Lat dist & TTC reference heading:	Start_Heading+0,00	[°]
#1	End of test Reason:	Target completed

#1	Trigger:
#1		Trigger #1:	'SystemCheck -> rollout'
#1			Condition:	'(((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0))'
#1			Action:	'Switch to Phase#1'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #2:	'rollout -> brake_3mss'
#1			Condition:	'(((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1))'
#1			Action:	'Switch to Phase#2'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #3:	'RTS -> Stop'
#1			Condition:	'((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL)'
#1			Action:	'Stop (controlled)'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1	Test events:
#1		09:27:00,400	Test phase change. New phase:0 ("SystemCheck")
#1		09:27:10,260	Trigger #0 "SystemCheck -> rollout" ((((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0)))
#1		09:27:10,260	Test phase change. New phase:1 ("rollout")
#1		09:27:20,260	Trigger #1 "rollout -> brake_3mss" ((((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1)))
#1		09:27:20,260	Test phase change. New phase:2 ("3mss_brake")
#1		09:27:21,240	Test phase change. New phase:3 ("RTS")
#1		09:27:50,030	Trigger #2 "RTS -> Stop" (((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL))
#1		09:27:50,030	Test phase change. New phase:70 ("Stopping (soft)")



Number of test points	5185

Test point data:

Index [-]	HPC Time [msec]	Source	Vehicle State [-]	Time (UTC)	Steer algorithm [-]	Desired speed [kph]	Vehicle Speed [kph]	Desired Acc [m/ss]	Vehicle Acc [m/ss]	Desired steering radius [m]	Int. desired speed [kph]	Int. desired steering radius [m]	Int. desired steering angle [°]	Desired steering speed [-]	Steering position [-]	Desired brake pressure [Bar]	Brake pressure [Bar]	Desired brake position [-]	Brake position [-]	Desired brake speed [-]	Steering angle measured [°]	GPS Lat [°]	GPS Long [°]	Pos E [m]	Pos N [m]	Desired Pos X [m]	Desired Pos Y [m]	Pos X [m]	Pos Y [m]	Speed [kph]	GPS Direction [°]	GPS Heading [°]	Change of Heading [°/s]	GPS Num satellites [-]	GPS Pos Accuracy [m]	GPS Heading Accuracy [°]	Speed Accuracy [m/s]	Position on Path [m]	Side deviation [m]	Way deviation [m]	Heading deviation [°]	Time deviation [s]	Speed deviation [kph]	Acc deviation [m/ss]	Acc X [m/ss]	Acc Y [m/ss]	Acc Z [m/ss]	AngRate Z [°/s]	Way from motors [m]	Motor [L] RPM [1/min]	Motor [L] Current [A]	Motor [L] Voltage [V]	Motor [L] Throttle [A]	Motor [L] Brake [-]	Motor [L] State [-]	Motor [L] Temp [°C]	Motor [L] PWM [‰]	Motor [R] RPM [1/min]	Motor [R] Current [A]	Motor [R] Voltage [V]	Motor [R] Throttle [A]	Motor [R] Brake [-]	Motor [R] State [-]	Motor [R] Temp [°C]	Motor [R] PWM [‰]	Motor [FL] RPM [1/min]	Motor [FL] Current [A]	Motor [FL] Voltage [V]	Motor [FL] Throttle [A]	Motor [FL] Brake [-]	Motor [FL] State [-]	Motor [FL] Temp [°C]	Motor [FL] PWM [‰]	Motor [FR] RPM [1/min]	Motor [FR] Current [A]	Motor [FR] Voltage [V]	Motor [FR] Throttle [A]	Motor [FR] Brake [-]	Motor [FR] State [-]	Motor [FR] Temp [°C]	Motor [FR] PWM [‰]	Slip rear left [%]	Slip rear right [%]	Slip front left [%]	Slip front right [%]	RPM front left [-]	RPM front right [-]	Batt Voltage 1 [V]	Batt Current 1 [A]	Batt State of charge 1 [%]	Batt Voltage 2 [V]	Batt Current 2 [A]	Batt State of charge 2 [%]	Time to meeting pos [s]	VUT distance to crashpoint [m]	VUT time to meeting pos [s]	VUT long distance [m]	VUT lat distance [m]	VUT speed [kph]	VUT Pos E [m]	VUT Pos N [m]	VUT Pos X [m]	VUT Pos Y [m]	VUT distance to UFO [m]	VUT side deviation [m]	TTC long [s]	TTC lat [s]	TTC abs [s]	Network roundtrip time [ms]	Additional side offset [m]	Additional forward offset [m]	Additional offset blend factor [1]	Safety CPU temp [°C]	Safety state [-]	Safety flags #1 [-]	Safety flags #2 [-]	Safety flags #3 [-]	Safety flags #4 [-]	Relay State [-]	Main buffer batt voltage [V]	GNSS buffer batt voltage [V]	Debug F1 [-]	Debug F2 [-]	Debug F3 [-]	Debug I1 [-]	Debug I2 [-]	Debug I3 [-]	
0	0	M	3	20/07/2023 09:27:00,400	6	0,00	0,00	4,000	0,015	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935078	14,49466483	12,332	6,219	0,000	0,000	0,023	0,000	0,00	0	115,35	0	27	0,040	0,214	0,021	0,023	0,000	0,000	-0,16	-0,107	0,00	-3,984	0,2	0,0	9,8	-0,103	0,000	0,0	0,3	51,8	76,245	0	0	59,7	0	0,0	0,7	52,0	76,245	0	0	59,7	0	0,0	0,6	51,9	76,245	0	0	59,7	-2	0,0	0,6	52,0	76,245	0	0	59,7	-2	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
1	10	M	3	20/07/2023 09:27:00,410	6	0,14	0,00	4,000	-0,013	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935078	14,49466483	12,332	6,219	0,000	-0,000	0,023	0,000	0,00	0	115,35	-0,052	27	0,040	0,214	0,021	0,023	0,000	0,000	-0,16	-0,097	-0,14	-4,013	0,2	0,0	9,8	-0,061	0,000	0,0	4,3	51,5	91,379	0	0	59,7	92	0,0	0,8	52,0	91,872	0	0	59,7	68	0,0	0,6	51,9	91,379	0	0	59,7	-2	0,0	1,9	52,0	91,872	0	0	59,7	67	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
2	20	M	3	20/07/2023 09:27:00,420	6	0,29	0,11	4,000	3,030	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935078	14,49466483	12,332	6,219	0,001	0,000	0,023	0,000	0,11	0	115,35	-0,133	27	0,040	0,214	0,021	0,023	0,000	0,000	-0,16	-0,087	-0,18	-0,970	2,2	0,1	9,6	-0,116	0,000	0,0	10,4	51,3	94,204	0	0	59,7	67	0,0	10,0	51,7	96,481	0	0	59,7	73	39,0	9,0	51,4	94,204	0	0	59,7	73	54,0	1,9	52,0	96,481	0	0	59,7	67	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
3	30	M	3	20/07/2023 09:27:00,430	6	0,43	0,23	4,000	3,396	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935078	14,49466483	12,332	6,219	0,002	-0,000	0,023	0,000	0,23	0	115,35	-0,034	27	0,040	0,214	0,021	0,023	0,000	0,000	-0,16	-0,078	-0,20	-0,604	3,6	-0,2	9,8	-0,313	0,000	0,0	18,6	51,3	95,713	0	0	59,7	73	0,0	19,7	51,7	99,602	0	0	59,7	74	7,0	9,0	51,4	95,713	0	0	59,7	73	120,0	1,9	52,0	99,602	0	0	59,7	67	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
4	40	M	3	20/07/2023 09:27:00,440	6	0,58	0,36	4,000	3,376	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935078	14,49466482	12,331	6,218	0,003	0,000	0,024	0,000	0,36	0	115,35	0,149	27	0,040	0,214	0,021	0,024	0,000	0,000	-0,16	-0,070	-0,22	-0,624	3,4	0,0	10,1	0,066	0,000	0,0	25,8	51,3	97,497	0	0	59,7	77	0,0	19,7	51,5	102,603	0	0	59,7	74	25,0	23,9	51,4	97,497	0	0	59,7	98	14,0	23,6	51,4	102,603	0	0	59,7	81	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
5	50	M	3	20/07/2023 09:27:00,450	6	0,72	0,47	4,000	3,218	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935077	14,49466480	12,330	6,218	0,005	-0,000	0,025	0,000	0,47	114,4	115,36	0,378	27	0,040	0,214	0,021	0,025	0,000	0,000	-0,15	-0,062	-0,25	-0,782	3,5	-0,0	10,1	0,222	0,000	0,0	30,3	51,1	100,153	0	0	59,7	77	29,0	28,6	51,5	105,943	0	0	59,7	81	27,0	23,9	51,4	100,153	0	0	59,7	98	35,0	23,6	51,4	105,943	0	0	59,7	81	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
6	60	M	3	20/07/2023 09:27:00,460	6	0,86	0,59	4,000	3,332	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935077	14,49466479	12,329	6,217	0,007	0,000	0,027	0,000	0,59	114,9	115,36	0,436	27	0,040	0,214	0,021	0,027	0,000	0,000	-0,15	-0,055	-0,27	-0,668	3,5	0,0	10,0	0,406	0,000	29,0	34,2	51,1	102,563	0	0	59,7	77	29,0	36,4	51,4	108,650	0	0	59,7	85	35,0	23,9	51,4	102,563	0	0	59,7	98	36,0	23,6	51,4	108,650	0	0	59,7	81	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
7	70	M	3	20/07/2023 09:27:00,470	6	1,01	0,71	4,000	3,315	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935076	14,49466476	12,327	6,217	0,010	-0,000	0,028	0,000	0,71	115,1	115,36	0,149	27	0,040	0,214	0,021	0,028	0,000	0,000	-0,15	-0,049	-0,30	-0,685	3,4	0,1	10,0	0,130	0,000	29,0	39,3	51,0	105,138	0	0	59,7	84	29,0	36,4	51,4	111,326	0	0	59,7	85	41,0	36,3	51,0	105,138	0	0	59,7	81	40,0	23,6	51,4	111,326	0	0	59,7	81	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
8	80	M	3	20/07/2023 09:27:00,480	6	1,15	0,84	4,000	3,698	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935075	14,49466474	12,325	6,216	0,013	0,000	0,030	0,000	0,84	115,3	115,36	0,068	27	0,040	0,214	0,021	0,030	0,000	0,000	-0,15	-0,043	-0,31	-0,302	3,7	0,1	9,9	0,029	0,000	29,0	44,6	50,9	106,241	0	0	59,7	85	29,0	43,5	51,2	112,537	0	0	59,7	88	47,0	36,3	51,0	106,241	0	0	59,7	81	49,0	40,6	51,2	112,537	0	0	59,7	89	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
9	90	M	3	20/07/2023 09:27:00,490	6	1,30	0,96	4,000	3,279	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935076	14,49466477	12,327	6,217	0,016	-0,000	0,028	0,000	0,96	115,6	115,37	0,441	27	0,040	0,214	0,021	0,028	0,000	0,000	-0,14	-0,029	-0,33	-0,721	3,9	0,1	9,7	-0,066	0,000	29,0	47,8	50,9	108,921	0	0	59,7	90	29,0	49,7	51,2	115,385	0	0	59,7	93	57,0	46,6	51,0	108,921	0	0	59,7	88	60,0	40,6	51,2	115,385	0	0	59,7	89	0	0	0	0	0	0	52,4	-1,3	79,10	52,4	-2,6	50,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	67,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
