UFObase Test Protocol - UFObase V3.5.96.2 May 26 2023-13:24:12
Protocol version:	1.14.3

Decimal separator:	,
Unknown value:	0

Test number:	11
Reference Position Long east:	14,49449907	[°]
Reference Position Lat north:	48,15929485	[°]
Reference direction:	154,690	[°]
Reference height:	100,0	[m]
Time zone: UTC
Coordinate system:	DIN 70000  (X,Y,Z -> Forward, Left, Up)
Start time	2023-07-20 09:29:49,590
Stop time	09:30:39,450

Test phases definition:
Phase #00 ('SystemCheck')
	Steering control: Path trajectory
	Speed control: Speed trajectory
Phase #01 ('rollout')
	Steering control: Unchanged
	Speed control: Generic
Phase #02 ('3mss_brake')
	Steering control: Unchanged
	Speed control: Speed trajectory
Phase #03 ('RTS')
	Steering control: Unchanged
	Speed control: Speed trajectory

#1	Vehicle (UFO):
#1		Name:	UFOmicro
#1		IP:	192.168.10.37
#1		Type:	vt6-3
#1		SW-Version:	539
#1		Processor-Type:	STM32F407

#1	Battery IDs:	10088, 10354
#1	Start position:
#1		X:	-0,350	[m]
#1		Y:	13,830	[m]
#1		XY-Hdg:	-89,8	[°]
#1		N:	6,229	[m]
#1		E:	12,353	[m]
#1		NE-Hdg:	-115,5	[°]
#1	Trajectory file:	SystemCheck_UFOmicro_traj.txt
#1	Trajectory length:	144,722	[m]
#1	UFO Dummy:
#1		Name:	Vehicle without dummy
#1		Length:	0,978	[m]
#1		Width:	1,048	[m]
#1		GPS->Front:	0,489	[m]
#1		GPS side offset:	-0,000	[m]
#1		GPS mounting correction forward:	0,000	[m]
#1		GPS mounting correction right:	0,000	[m]
#1		GPS->MRP Forward:	0,000	[m]
#1		GPS->MRP Right:	0,000	[m]
#1	Long/Lat dist & TTC reference heading:	Start_Heading+0,00	[°]
#1	End of test Reason:	Target completed

#1	Trigger:
#1		Trigger #1:	'SystemCheck -> rollout'
#1			Condition:	'(((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0))'
#1			Action:	'Switch to Phase#1'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #2:	'rollout -> brake_3mss'
#1			Condition:	'(((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1))'
#1			Action:	'Switch to Phase#2'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #3:	'RTS -> Stop'
#1			Condition:	'((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL)'
#1			Action:	'Stop (controlled)'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1	Test events:
#1		09:29:49,590	Test phase change. New phase:0 ("SystemCheck")
#1		09:29:59,450	Trigger #0 "SystemCheck -> rollout" ((((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0)))
#1		09:29:59,450	Test phase change. New phase:1 ("rollout")
#1		09:30:09,450	Trigger #1 "rollout -> brake_3mss" ((((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1)))
#1		09:30:09,450	Test phase change. New phase:2 ("3mss_brake")
#1		09:30:10,430	Test phase change. New phase:3 ("RTS")
#1		09:30:39,240	Trigger #2 "RTS -> Stop" (((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL))
#1		09:30:39,240	Test phase change. New phase:70 ("Stopping (soft)")



Number of test points	5189

Test point data:

Index [-]	HPC Time [msec]	Source	Vehicle State [-]	Time (UTC)	Steer algorithm [-]	Desired speed [kph]	Vehicle Speed [kph]	Desired Acc [m/ss]	Vehicle Acc [m/ss]	Desired steering radius [m]	Int. desired speed [kph]	Int. desired steering radius [m]	Int. desired steering angle [°]	Desired steering speed [-]	Steering position [-]	Desired brake pressure [Bar]	Brake pressure [Bar]	Desired brake position [-]	Brake position [-]	Desired brake speed [-]	Steering angle measured [°]	GPS Lat [°]	GPS Long [°]	Pos E [m]	Pos N [m]	Desired Pos X [m]	Desired Pos Y [m]	Pos X [m]	Pos Y [m]	Speed [kph]	GPS Direction [°]	GPS Heading [°]	Change of Heading [°/s]	GPS Num satellites [-]	GPS Pos Accuracy [m]	GPS Heading Accuracy [°]	Speed Accuracy [m/s]	Position on Path [m]	Side deviation [m]	Way deviation [m]	Heading deviation [°]	Time deviation [s]	Speed deviation [kph]	Acc deviation [m/ss]	Acc X [m/ss]	Acc Y [m/ss]	Acc Z [m/ss]	AngRate Z [°/s]	Way from motors [m]	Motor [L] RPM [1/min]	Motor [L] Current [A]	Motor [L] Voltage [V]	Motor [L] Throttle [A]	Motor [L] Brake [-]	Motor [L] State [-]	Motor [L] Temp [°C]	Motor [L] PWM [‰]	Motor [R] RPM [1/min]	Motor [R] Current [A]	Motor [R] Voltage [V]	Motor [R] Throttle [A]	Motor [R] Brake [-]	Motor [R] State [-]	Motor [R] Temp [°C]	Motor [R] PWM [‰]	Motor [FL] RPM [1/min]	Motor [FL] Current [A]	Motor [FL] Voltage [V]	Motor [FL] Throttle [A]	Motor [FL] Brake [-]	Motor [FL] State [-]	Motor [FL] Temp [°C]	Motor [FL] PWM [‰]	Motor [FR] RPM [1/min]	Motor [FR] Current [A]	Motor [FR] Voltage [V]	Motor [FR] Throttle [A]	Motor [FR] Brake [-]	Motor [FR] State [-]	Motor [FR] Temp [°C]	Motor [FR] PWM [‰]	Slip rear left [%]	Slip rear right [%]	Slip front left [%]	Slip front right [%]	RPM front left [-]	RPM front right [-]	Batt Voltage 1 [V]	Batt Current 1 [A]	Batt State of charge 1 [%]	Batt Voltage 2 [V]	Batt Current 2 [A]	Batt State of charge 2 [%]	Time to meeting pos [s]	VUT distance to crashpoint [m]	VUT time to meeting pos [s]	VUT long distance [m]	VUT lat distance [m]	VUT speed [kph]	VUT Pos E [m]	VUT Pos N [m]	VUT Pos X [m]	VUT Pos Y [m]	VUT distance to UFO [m]	VUT side deviation [m]	TTC long [s]	TTC lat [s]	TTC abs [s]	Network roundtrip time [ms]	Additional side offset [m]	Additional forward offset [m]	Additional offset blend factor [1]	Safety CPU temp [°C]	Safety state [-]	Safety flags #1 [-]	Safety flags #2 [-]	Safety flags #3 [-]	Safety flags #4 [-]	Relay State [-]	Main buffer batt voltage [V]	GNSS buffer batt voltage [V]	Debug F1 [-]	Debug F2 [-]	Debug F3 [-]	Debug I1 [-]	Debug I2 [-]	Debug I3 [-]	
0	0	M	3	20/07/2023 09:29:49,590	6	0,00	0,01	4,000	0,009	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935104	14,49466512	12,354	6,247	0,000	0,000	-0,009	-0,016	0,01	0	115,83	0	27	0,037	0,189	0,022	-0,009	-0,016	0,000	0,32	0,000	0,01	-3,991	0,2	0,0	9,8	-0,019	0,000	0,0	-0,3	51,6	75,704	0	0	70,0	3	0,0	0,1	51,8	75,704	0	0	70,0	0	0,0	-0,4	51,7	75,704	0	0	69,6	0	0,0	0,3	51,8	75,704	0	0	69,6	-2	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
1	10	M	3	20/07/2023 09:29:49,600	6	0,14	0,01	4,000	-0,001	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935104	14,49466512	12,354	6,247	0,000	-0,000	-0,009	-0,016	0,01	0	115,83	0,016	27	0,037	0,189	0,022	-0,009	-0,016	0,000	0,32	0,000	-0,14	-4,001	0,2	0,0	9,8	-0,097	0,000	0,0	2,9	51,3	90,951	0	0	70,0	86	0,0	3,6	51,6	91,128	0	0	70,0	76	0,0	-0,4	51,7	90,951	0	0	69,6	0	0,0	0,3	51,8	91,128	0	0	69,6	-2	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
2	20	M	3	20/07/2023 09:29:49,610	6	0,29	0,12	4,000	3,081	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935104	14,49466512	12,354	6,247	0,001	0,000	-0,009	-0,016	0,12	0	115,83	0,023	27	0,037	0,189	0,022	-0,009	-0,016	0,000	0,32	0,000	-0,17	-0,919	1,6	-0,1	9,6	0,030	0,000	29,0	11,5	51,1	94,168	0	0	70,0	76	0,0	3,6	51,6	94,958	0	0	70,0	76	83,0	6,9	51,2	94,168	0	0	69,6	65	53,0	0,3	51,5	94,958	0	0	69,6	-2	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
3	30	M	3	20/07/2023 09:29:49,620	6	0,43	0,23	4,000	3,126	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935103	14,49466512	12,353	6,247	0,002	-0,000	-0,008	-0,016	0,23	0	115,83	-0,235	27	0,037	0,189	0,022	-0,008	-0,016	0,000	0,32	0,000	-0,20	-0,874	3,8	0,0	9,7	-0,396	0,000	29,0	17,0	51,0	97,240	0	0	70,0	72	0,0	13,3	51,3	98,585	0	0	70,0	74	81,0	6,9	51,2	97,240	0	0	69,6	65	176,0	0,3	51,5	98,585	0	0	69,6	-2	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
4	40	M	3	20/07/2023 09:29:49,630	6	0,58	0,35	4,000	3,365	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935103	14,49466511	12,353	6,247	0,003	0,000	-0,008	-0,016	0,35	0	115,83	-0,120	27	0,037	0,189	0,022	-0,008	-0,016	0,000	0,32	0,000	-0,22	-0,635	3,7	-0,0	9,9	-0,258	0,000	29,0	24,4	51,0	99,382	0	0	70,0	77	0,0	22,7	51,3	101,307	0	0	70,0	77	1,0	23,4	51,2	99,382	0	0	69,6	76	36,0	19,7	51,5	101,307	0	0	69,6	77	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
5	50	M	3	20/07/2023 09:29:49,640	6	0,72	0,48	4,000	3,626	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935103	14,49466509	12,352	6,246	0,005	-0,000	-0,007	-0,016	0,48	115,1	115,83	0,178	27	0,037	0,189	0,022	-0,007	-0,016	0,000	0,32	0,000	-0,24	-0,374	3,7	-0,1	10,0	0,089	0,000	29,0	29,0	50,9	100,641	0	0	70,0	81	0,0	22,7	51,3	102,913	0	0	70,0	77	19,0	23,4	51,2	100,641	0	0	69,6	76	39,0	19,7	51,1	102,913	0	0	69,6	77	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
6	60	M	3	20/07/2023 09:29:49,650	6	0,86	0,61	4,000	3,571	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935102	14,49466508	12,350	6,246	0,007	0,000	-0,005	-0,016	0,61	115,5	115,83	0,070	27	0,036	0,189	0,021	-0,005	-0,016	0,000	0,32	0,000	-0,25	-0,429	3,8	0,0	9,8	0,072	0,000	29,0	35,3	50,9	102,240	0	0	70,0	81	0,0	31,0	51,2	104,604	0	0	70,0	81	31,0	23,4	51,2	102,240	0	0	69,6	76	38,0	19,7	51,1	104,604	0	0	69,6	77	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
7	70	M	3	20/07/2023 09:29:49,660	6	1,01	0,74	4,000	3,482	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935102	14,49466505	12,349	6,245	0,010	-0,000	-0,003	-0,016	0,74	116,0	115,83	-0,150	27	0,036	0,189	0,021	-0,003	-0,016	0,000	0,32	0,000	-0,27	-0,518	3,7	0,1	9,9	-0,146	0,000	57,0	39,1	50,8	104,196	0	0	70,0	83	29,0	38,3	51,2	106,617	0	0	70,0	110	37,0	36,3	51,2	104,196	0	0	69,6	91	39,0	38,1	51,1	106,617	0	0	69,6	90	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
8	80	M	3	20/07/2023 09:29:49,670	6	1,15	0,87	4,000	3,644	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935101	14,49466503	12,347	6,244	0,013	0,000	-0,001	-0,016	0,87	115,7	115,83	-0,235	27	0,036	0,189	0,021	-0,001	-0,016	0,000	0,32	0,000	-0,28	-0,356	3,6	0,0	9,9	-0,376	0,000	57,0	43,5	50,8	105,487	0	0	70,0	85	29,0	44,9	51,0	108,055	0	0	70,0	89	47,0	36,3	50,8	105,487	0	0	69,6	91	51,0	38,1	51,1	108,055	0	0	69,6	90	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
9	90	M	3	20/07/2023 09:29:49,680	6	1,30	1,01	4,000	3,888	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935100	14,49466500	12,345	6,243	0,016	-0,000	0,001	-0,016	1,01	115,7	115,83	0,098	27	0,036	0,189	0,021	0,001	-0,016	0,000	0,32	0,064	-0,29	-0,112	4,1	-0,1	9,8	-0,038	0,000	57,0	46,7	50,8	105,833	0	0	70,0	88	29,0	44,9	51,0	108,566	0	0	70,0	89	61,0	46,5	50,8	105,833	0	0	69,6	92	62,0	38,1	51,0	108,566	0	0	69,6	90	0	0	0	0	0	0	52,2	-1,5	77,70	52,2	-2,4	41,30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
